created_at,entry_id,field1,field2,field3,field4,field5,field6
2018-10-24 05:49:27 UTC,1,x,y,z,ridescore,,
2018-10-24 05:49:45 UTC,2,x,y,z,ridescore,,
2018-10-25 04:32:44 UTC,3,x,y,z,lat,long,ridescore
2018-10-25 04:33:00 UTC,4,-0.7793126403808592,-0.16160861206054686,-10.153809240722655,1,2,10.18495398280887
2018-10-25 04:33:15 UTC,5,-0.7326257080078125,-0.1879448303222656,-10.190919366455077,1,2,10.218948146500596
2018-10-25 04:33:30 UTC,6,-0.622492431640625,-0.15083470458984372,-10.077194787597655,1,2,10.09752953562127
2018-10-25 04:33:46 UTC,7,-0.6943184814453125,-0.12449848632812499,-10.104728106689453,1,2,10.129319233635316
2018-10-25 04:34:01 UTC,8,-0.7278373046875,-0.16998831787109375,-10.108319409179687,1,2,10.13591458371203
2018-10-25 04:34:17 UTC,9,-0.7685387329101562,-0.21068974609375,-10.104728106689453,1,2,10.136102409862088
2018-10-25 05:03:12 UTC,10,x,y,z,lat,long,ridescore
2018-10-25 05:03:28 UTC,11,0.0,0.0,-4.76924970703125,1,2,4.76924970703125
2018-10-25 05:03:46 UTC,12,-3.9935283691406247,-0.22385785522460935,-9.64623848876953,1,2,10.442619314937005
2018-10-25 05:04:02 UTC,13,-3.9504327392578125,-0.26216508178710934,-9.654618194580078,1,2,10.43485993392461
2018-10-25 05:04:19 UTC,14,-3.7960067321777338,-0.22864625854492188,-9.698910925292967,1,2,10.417812599536072
2018-10-25 05:04:35 UTC,15,-4.011484881591796,-0.20231004028320315,-9.696516723632811,1,2,10.495493169895816
2018-10-25 05:04:51 UTC,16,-3.884592193603515,-0.30526071166992186,-9.621099371337891,1,2,10.380211641669593
2018-10-25 05:05:07 UTC,17,-3.9097313110351557,-0.24899697265624998,-9.72405004272461,1,2,10.48356559812992
2018-10-25 05:05:24 UTC,18,-3.892971899414062,-0.12569558715820311,-9.72285294189453,1,2,10.474010641581652
2018-10-25 05:05:40 UTC,19,-3.870226983642578,-0.22744915771484375,-9.672574707031249,1,2,10.420608978719093
2018-10-25 05:05:56 UTC,20,-3.839102362060547,-0.21068974609375002,-9.694122521972655,1,2,10.428763521458592
2018-10-25 05:06:12 UTC,21,-3.8905776977539057,-0.23223756103515625,-9.639055883789062,1,2,10.39720767503584
2018-10-25 05:06:28 UTC,22,x,y,z,lat,long,ridescore
2018-10-25 05:06:44 UTC,23,-3.909731311035156,-0.26336218261718747,-9.67736311035156,1,2,10.440628110095426
2018-10-25 05:07:02 UTC,24,-3.878606689453125,-0.2885013000488281,-9.80066449584961,1,2,10.54418547882232
2018-10-25 05:07:18 UTC,25,-3.8941690002441405,-0.20709844360351565,-9.763554370117188,1,2,10.513535842238799
2018-10-25 05:07:35 UTC,26,-3.9264907226562498,-0.229843359375,-9.696516723632811,1,2,10.463870886848957
2018-10-25 05:07:51 UTC,27,-3.750516900634765,-0.19033903198242189,-9.725247143554686,1,2,10.425115729442124
2018-10-25 05:08:08 UTC,28,-3.9145197143554684,-0.26216508178710934,-9.731232647705077,1,2,10.492334533741632
2018-10-25 05:08:25 UTC,29,-4.054580511474609,-0.21787235107421876,-9.63426748046875,1,2,10.45496061066755
